,y,a
1190,2016-01-30,224
1191,2016-01-31,325
1192,2016-02-01,296
1193,2016-02-02,381
1194,2016-02-03,402
1195,2016-02-04,293
1196,2016-02-05,211
1197,2016-02-06,391
1198,2016-02-07,339
1199,2016-02-08,235
1200,2016-02-09,299
1201,2016-02-10,251
1202,2016-02-11,238
1203,2016-02-12,200
1204,2016-02-13,217
1205,2016-02-14,584
1206,2016-02-15,395
1207,2016-02-16,272
1208,2016-02-17,371
1209,2016-02-18,335
1210,2016-02-19,277
1211,2016-02-20,266
1212,2016-02-21,291
1213,2016-02-22,299
1214,2016-02-23,385
1215,2016-02-24,328
1216,2016-02-25,312
1217,2016-02-26,431
1218,2016-02-27,283
1219,2016-02-28,436
1220,2016-02-29,299
1221,2016-03-01,262
1222,2016-03-02,225
1223,2016-03-03,221
1224,2016-03-04,139
1225,2016-03-05,391
1226,2016-03-06,303
1227,2016-03-07,239
1228,2016-03-08,206
1229,2016-03-09,292
1230,2016-03-10,225
1231,2016-03-11,223
1232,2016-03-12,300
1233,2016-03-12,337
1234,2016-03-13,168
1235,2016-03-14,168
1236,2016-03-15,245
1237,2016-03-16,421
1238,2016-03-17,392
1239,2016-03-18,253
1240,2016-03-19,242
1241,2016-03-20,321
1242,2016-03-21,242
